Issue Type,Summary,Description,Epic Link,Story Points,Sprint,Priority
Epic,Documentation & Solution Design,"All requirements, solution design, and schema documentation work for the capstone project.",,,,Medium
Epic,Data Ingestion & Cleansing,Upload raw data to S3 and build PySpark cleansing modules for all 4 source datasets.,,,,Medium
Epic,Use Case Result Generation,Build PySpark modules to compute all 13 business use cases and load results to Redshift Project-Output schema.,,,,Medium
Epic,Testing & QA,"Validate data cleansing, schema correctness, and use case output accuracy.",,,,Medium
Epic,Deployment & Presentation,"Push code to GitHub, deploy to EMR/Databricks, and prepare the live class presentation.",,,,Medium
Story,Write Requirements Specification Document,"Document purpose, audience, scope, definitions, user needs, assumptions, functional/nonfunctional requirements, and all 13 use cases per the SRS template.",Documentation & Solution Design,5,Sprint 1 - Documentation & Solution Design (Week 1),High
Task,Draft Introduction and Product Scope sections,"Purpose, intended audience, product scope, definitions/acronyms.",Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Draft Overall Description section,"User needs, assumptions and dependencies.",Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Draft System Features and Requirements section,"Functional requirements, external interfaces, all 13 use cases as system features, nonfunctional requirements.",Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Story,Write Solution Design Document,"Document the step-by-step solution, use case to output table mapping, Redshift database design, PK/FK table metadata, ER diagram, and technology stack.",Documentation & Solution Design,5,Sprint 1 - Documentation & Solution Design (Week 1),High
Task,Design Redshift staging schema (bootcamp),"Define patients, subscriber, claims, group_subgroup, hospital tables with PK/FK relationships.",Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Design Project-Output schema,Define one output table per use case (13 tables) in the Project-Output schema.,Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Create ER diagram,Visualize PK/FK relationships across staging tables.,Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Low
Task,Document technology stack,"List S3, Redshift, EMR, Databricks, PySpark, GitHub, Jira and their role in the solution.",Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Low
Story,Set up AWS environment,"Create S3 bucket with input-data folder, configure IAM roles, provision Redshift cluster/serverless, set up Databricks Community Edition workspace.",Documentation & Solution Design,3,Sprint 1 - Documentation & Solution Design (Week 1),High
Task,Create S3 bucket and input-data folder,Provision bucket and upload sample raw data.,Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Provision Redshift cluster/serverless,Create bootcamp and Project-Output schemas.,Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Task,Configure IAM roles for S3/Redshift access,Least-privilege roles for Glue/EMR/Redshift COPY operations.,Documentation & Solution Design,,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Story,Set up GitHub repositories,Create Documents repo and PySpark Source Code repo with initial folder structure and README files.,Documentation & Solution Design,2,Sprint 1 - Documentation & Solution Design (Week 1),Medium
Story,UC-1: Disease with the maximum number of claims,"As a business analyst, I want to know: disease with the maximum number of claims, so I can act on the insight. Output persisted to Project-Output.out_disease_max_claims.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-2: Subscribers under age 30 enrolled in a subgroup,"As a business analyst, I want to know: subscribers under age 30 enrolled in a subgroup, so I can act on the insight. Output persisted to Project-Output.out_subscribers_under30_subgroup.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-3: Group with the maximum number of subgroups,"As a business analyst, I want to know: group with the maximum number of subgroups, so I can act on the insight. Output persisted to Project-Output.out_group_max_subgroups.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-4: Hospital serving the most patients,"As a business analyst, I want to know: hospital serving the most patients, so I can act on the insight. Output persisted to Project-Output.out_hospital_most_patients.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-5: Subgroups with the most subscriptions,"As a business analyst, I want to know: subgroups with the most subscriptions, so I can act on the insight. Output persisted to Project-Output.out_subgroup_most_subscriptions.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-6: Total number of rejected claims,"As a business analyst, I want to know: total number of rejected claims, so I can act on the insight. Output persisted to Project-Output.out_claims_rejected_total.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-7: City generating the most claims,"As a business analyst, I want to know: city generating the most claims, so I can act on the insight. Output persisted to Project-Output.out_city_most_claims.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-8: Government vs. Private policy split by group,"As a business analyst, I want to know: government vs. private policy split by group, so I can act on the insight. Output persisted to Project-Output.out_policy_type_counts.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-9: Average monthly premium paid by subscribers,"As a business analyst, I want to know: average monthly premium paid by subscribers, so I can act on the insight. Output persisted to Project-Output.out_avg_monthly_premium.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-10: Most profitable group,"As a business analyst, I want to know: most profitable group, so I can act on the insight. Output persisted to Project-Output.out_group_most_profitable.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,UC-11: Patients under 18 admitted for cancer,"As a business analyst, I want to know: patients under 18 admitted for cancer, so I can act on the insight. Output persisted to Project-Output.out_patients_under18_cancer.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,"UC-12: Cashless patients with charges >= Rs. 50,000","As a business analyst, I want to know: cashless patients with charges >= rs. 50,000, so I can act on the insight. Output persisted to Project-Output.out_cashless_high_charges.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
